1 4 1524981766.0098746
2 4 1524981766.13495
1 10.988229786955255 0.99 1524981767.1250286
2 10.540834461414878 0.99 1524981767.29475
1 11.611337698272129 0.99 1524981767.376465
2 10.888452565089711 0.99 1524981767.5352077
1 11.942934073401492 0.99 1524981767.627161
2 11.485590017373848 0.99 1524981767.8180907
1 12.037179984221577 0.97 1524981767.8775835
2 11.843721426732328 0.99 1524981768.0546072
1 11.942064322423319 0.97 1524981768.1340306
2 11.494821584773856 0.99 1524981768.3395846
1 11.779443777686817 0.97 1524981768.393533
2 11.5532322294139 0.99 1524981768.5720334
1 11.722238577384942 0.97 1524981768.6485488
2 11.55327037638663 0.99 1524981768.8588254
1 11.71804241038494 0.97 1524981768.8996665
2 11.577730215299376 0.99 1524981769.091358
1 11.741640127714058 0.97 1524981769.1563735
2 11.324304616682808 0.99 1524981769.3998275
1 11.76248363361225 0.97 1524981769.4217765
1 11.849657095688691 0.97 1524981769.6641781
2 10.995523488140705 0.99 1524981769.6856797
1 11.850244559068697 0.97 1524981769.9159422
2 11.343286550311914 0.99 1524981769.9402492
2 11.36559489996283 0.99 1524981770.1474466
1 11.73338512281586 0.97 1524981770.178779
2 12.236429252170822 0.97 1524981770.3801427
1 11.767335928543174 0.97 1524981770.4339411
2 12.28035930596359 0.95 1524981770.6402543
1 11.67358592836855 0.97 1524981770.693316
2 12.212953605154448 0.93 1524981770.8974495
1 11.606325186055765 0.97 1524981770.9466126
2 11.81773570891048 0.93 1524981771.1671045
1 11.708116568081307 0.97 1524981771.1995547
1 11.745477713170416 0.97 1524981771.4534228
2 10.902162587087911 0.93 1524981771.479551
1 11.82848552582504 0.97 1524981771.7040086
2 11.092317616738976 0.93 1524981771.7263594
1 11.875108755892342 0.97 1524981771.957514
2 10.741487537960497 0.93 1524981772.0131578
1 11.861642874519616 0.97 1524981772.2151651
2 10.787042652791447 0.93 1524981772.2774537
1 11.8571949374996 0.97 1524981772.4651284
2 11.289873159099143 0.93 1524981772.542266
1 11.818979300221391 0.97 1524981772.7236276
2 10.81809428859148 0.93 1524981772.8304243
1 11.802179373432294 0.97 1524981772.978929
2 11.02250102725346 0.93 1524981773.1020582
1 11.704988516317668 0.97 1524981773.2421117
2 10.636262928389511 0.93 1524981773.4063044
1 11.720247305408586 0.97 1524981773.4880078
2 10.70298198368956 0.93 1524981773.6639452
1 11.765985525708624 0.97 1524981773.7436285
2 11.174364125680855 0.93 1524981773.904114
1 11.766908682448625 0.97 1524981773.9975736
2 10.938737904538849 0.93 1524981774.2013514
1 11.881898917037809 0.97 1524981774.245657
2 11.557138479421182 0.93 1524981774.443392
1 11.87563518411598 0.97 1524981774.4990566
2 11.31674388668825 0.93 1524981774.7271082
1 11.910402335059656 0.97 1524981774.752645
2 11.22606853251545 0.93 1524981774.9744298
1 11.915025748154196 0.97 1524981774.998909
1 11.951974905937865 0.97 1524981775.2577744
2 11.39480022228286 0.93 1524981775.2852912
1 11.788301504754092 0.97 1524981775.5210307
2 11.103303944884436 0.93 1524981775.5429487
1 11.709962881561298 0.97 1524981775.772564
2 10.907724415711552 0.93 1524981775.8253582
1 11.80150798671229 0.97 1524981776.022246
2 11.063005482895317 0.93 1524981776.0571804
1 11.80246166103047 0.97 1524981776.2657793
2 10.650224720407698 0.93 1524981776.3789034
1 11.98674968627607 0.97 1524981776.5224867
2 10.623506580709499 0.93 1524981776.6509314
1 12.057374991583414 0.95 1524981776.7658162
2 10.99898723326435 0.93 1524981776.9191108
1 11.974695242894253 0.95 1524981777.0206687
2 10.692003284938638 0.93 1524981777.1802335
1 11.89885906111237 0.95 1524981777.2760968
2 11.03719524114802 0.93 1524981777.4663143
1 11.791193045286827 0.95 1524981777.539316
2 11.363939321346477 0.93 1524981777.7069643
1 11.669473684708535 0.95 1524981777.7994146
2 11.276582753800941 0.93 1524981777.981224
1 11.609231985377587 0.95 1524981778.0545166
2 11.092584645548062 0.93 1524981778.2642543
1 11.630380667057597 0.95 1524981778.3072906
2 11.299493825620965 0.93 1524981778.5298474
1 11.706995047083112 0.95 1524981778.5617115
2 10.938524281491574 0.93 1524981778.805404
1 11.73844341139951 0.95 1524981778.830062
2 11.226099050093627 0.93 1524981779.0498617
1 11.604585684099401 0.95 1524981779.0860891
2 11.107645070380803 0.93 1524981779.3470397
1 11.552049673259354 0.95 1524981779.373226
1 11.55881694622118 0.95 1524981779.6002
2 10.723405872887758 0.93 1524981779.6465068
1 11.593393362301205 0.95 1524981779.8542652
2 10.853799855064224 0.93 1524981779.9089506
1 11.724931753659499 0.95 1524981780.111827
2 10.346529041131078 0.93 1524981780.207932
1 11.773439444179532 0.95 1524981780.3670268
2 10.755258595115054 0.93 1524981780.4602308
1 11.805933035548657 0.95 1524981780.6184714
2 11.195673024646327 0.93 1524981780.719232
1 11.842844046359593 0.95 1524981780.8644977
2 11.069459950680773 0.93 1524981780.993462
1 11.94795421501241 0.95 1524981781.1213467
2 11.66173747863944 0.93 1524981781.2368753
1 11.9722538366397 0.95 1524981781.3705668
2 11.472536123306567 0.93 1524981781.5054872
1 11.89048961529599 0.95 1524981781.6257794
2 11.375223195879213 0.93 1524981781.7752924
1 11.8564548862287 0.95 1524981781.8820927
2 11.750436819624973 0.93 1524981782.014851
1 11.808107412994115 0.95 1524981782.136443
2 11.049654042440757 0.93 1524981782.3231473
1 11.71936992503585 0.95 1524981782.3960836
2 11.176248586133585 0.93 1524981782.5776222
1 11.654214895617619 0.95 1524981782.6550708
2 10.635515247724047 0.93 1524981782.9045208
1 11.65482524718126 0.95 1524981782.9293888
1 11.616655386270322 0.95 1524981783.1730738
2 10.194772754227316 0.93 1524981783.1955807
1 11.71970561839585 0.95 1524981783.4182487
2 10.422296558362051 0.93 1524981783.4737575
1 11.82991222260504 0.95 1524981783.6710882
2 10.274004016581939 0.93 1524981783.7458527
1 11.750108755659523 0.95 1524981783.931421
2 10.836168324269666 0.93 1524981784.0120814
1 11.780160940774083 0.95 1524981784.1830637
2 10.935998951897021 0.93 1524981784.289491
1 11.794580496465008 0.95 1524981784.4379942
2 10.76371959366597 0.93 1524981784.589114
1 11.652704275497625 0.95 1524981784.70052
2 10.679590260013171 0.93 1524981784.8698068
1 11.643556631437606 0.95 1524981784.962252
2 10.677682911376817 0.93 1524981785.1361542
1 11.645540274019428 0.95 1524981785.2156312
2 10.85016826326059 0.93 1524981785.3951776
1 11.58118633102847 0.95 1524981785.4778411
2 11.21612743142271 0.93 1524981785.6593335
1 11.65267375791943 0.95 1524981785.7265425
2 11.341074025893725 0.93 1524981785.9280732
1 11.697267569037649 0.95 1524981785.9834301
2 11.475191152608378 0.93 1524981786.1816204
1 11.752168692186792 0.95 1524981786.235933
2 11.062509572249851 0.93 1524981786.4842129
1 11.827394522405038 0.95 1524981786.5090764
1 11.888803519101447 0.95 1524981786.7407703
2 10.836114918507848 0.93 1524981786.7676368
1 11.718118704330395 0.95 1524981787.0158617
2 10.80081370994601 0.93 1524981787.0452409
1 11.549211538488446 0.95 1524981787.2787912
2 10.52594951265668 0.93 1524981787.3263319
1 11.363191640681022 0.95 1524981787.5410213
2 10.633905445474953 0.93 1524981787.60961
1 11.358400380906465 0.95 1524981787.7987099
2 11.072732960940773 0.93 1524981787.852614
1 11.41796306412288 0.95 1524981788.0648584
2 11.121896779391722 0.93 1524981788.116638
1 11.513734853852053 0.95 1524981788.3208513
2 11.073488271000771 0.93 1524981788.4034252
1 11.608377493188495 0.95 1524981788.5730033
2 11.55896953411209 0.93 1524981788.6495402
1 11.558420217704816 0.95 1524981788.8336537
2 11.125299489359005 0.93 1524981788.9286036
1 11.708055532924933 0.95 1524981789.0831215
2 10.963899647749775 0.93 1524981789.2116792
1 11.720155752674042 0.95 1524981789.3419685
2 10.91436961836064 0.93 1524981789.5023925
1 11.755785025201341 0.95 1524981789.5965261
2 10.860521351658775 0.93 1524981789.7560716
1 11.761064566226798 0.95 1524981789.8542683
2 10.626848255520402 0.93 1524981790.0595706
1 11.78206828941045 0.95 1524981790.1030543
2 10.825357472198752 0.93 1524981790.3213773
1 11.75242809160134 0.95 1524981790.3601031
2 10.889360463040628 0.93 1524981790.6054876
1 11.769189871417709 0.95 1524981790.6298215
1 11.839433706997768 0.95 1524981790.8649607
2 10.61041453966949 0.93 1524981790.8893728
1 11.8231754672214 0.95 1524981791.1203036
2 11.303331411077332 0.93 1524981791.1446946
1 11.78480724205227 0.95 1524981791.381397
2 10.594392811124022 0.93 1524981791.4533107
1 11.76189617023226 0.95 1524981791.6363232
2 10.875299488893345 0.93 1524981791.7081025
1 11.701067007521296 0.95 1524981791.8935893
2 10.317178760314691 0.93 1524981792.0472915
1 11.547639883212081 0.95 1524981792.1589525
2 9.997049365187161 0.937 1524981792.321445
1 11.617906606975778 0.95 1524981792.4163105
2 10.72068980842958 0.937 1524981792.572707
1 11.609430349635764 0.95 1524981792.6666946
2 10.33168223934561 0.937 1524981792.870141
1 11.595636404297569 0.95 1524981792.9257681
2 11.095346486373522 0.937 1524981793.1277225
1 11.757524527157702 0.95 1524981793.1831105
2 11.3905277613374 0.937 1524981793.3765903
1 11.739000357201324 0.95 1524981793.4391282
2 10.965799366991595 0.937 1524981793.667794
1 11.793657339725002 0.95 1524981793.6944983
2 11.499315298161124 0.937 1524981793.9142182
1 11.687150991870379 0.95 1524981793.9536588
2 11.283861196197318 0.937 1524981794.192223
1 11.593927419919389 0.95 1524981794.218283
2 11.127374684675368 0.937 1524981794.4539375
1 11.57930949997029 0.95 1524981794.4791293
2 11.561655080992084 0.937 1524981794.7082298
1 11.541299856344805 0.95 1524981794.7301865
2 11.348726308622823 0.937 1524981794.9734607
1 11.639772451743056 0.95 1524981795.0016882
2 11.404497182750145 0.937 1524981795.2457259
1 11.61615184623032 0.95 1524981795.2719529
1 11.55698589153027 0.95 1524981795.5090106
2 11.103242909728067 0.937 1524981795.5418935
1 11.433244741397436 0.95 1524981795.7760558
2 10.951082264913403 0.937 1524981795.8029666
1 11.4587803249411 0.95 1524981796.0368893
2 10.865968739364243 0.937 1524981796.0756986
1 11.515146291842962 0.95 1524981796.2889473
2 10.820314442404197 0.937 1524981796.3510673
1 11.55082134073753 0.95 1524981796.5461729
2 10.551469837411252 0.937 1524981796.6698961
